timestamp,Price [Md€],price_open,price_high,price_low,price_close,Amount [BTC],weighted_volume,btrx_vwap,sigma,vwmp_lower
2021-02-24 00:00:00,0.08,48906.607,49070.307,46958.22,48488.0,42.47,2032535.1786255827,47861.25,557.62,48144.74
2021-02-24 01:00:00,0.1,48488.0,50229.466,48453.81,50199.989,55.04,2715974.3652724223,49343.27,469.53,49880.7
2021-02-24 02:00:00,0.07,50188.392,50600.0,49838.017,50230.77,32.53,1635208.2978918222,50264.13,175.98,50283.49
2021-02-24 03:00:00,0.05,50213.589,50999.99,50105.146,50949.591,38.11,1925549.108316308,50528.68,194.34,50488.86
2021-02-24 04:00:00,0.05,50999.999,51386.269,50400.0,50662.379,29.55,1504613.7499243992,50914.28,232.9,50814.88
2021-02-24 05:00:00,0.06,50676.453,51030.517,50000.0,50244.01,32.88,1661610.6710241784,50537.36,267.32,50136.44
2021-02-24 06:00:00,0.08,50226.75,50709.49,49504.22,50119.51,38.28,1915068.8036909292,50033.77,325.17,49823.59
2021-02-24 07:00:00,0.04,50114.94,50346.99,49551.014,50105.15,19.92,996800.2314418292,50032.96,185.5,50250.0
2021-02-24 08:00:00,0.07,50105.15,50921.529,49840.0,50679.16,34.8,1760450.1230530934,50587.22,223.99,50659.68
2021-02-24 09:00:00,0.08,50699.12,51408.635,50356.99,50980.189,35.1,1788432.9290291998,50947.53,264.03,51273.56
2021-02-24 10:00:00,0.05,50981.64,51088.359,50142.85,50159.45,20.41,1033950.2583223345,50665.39,249.32,50964.17
2021-02-24 11:00:00,0.05,50128.489,50914.526,50128.489,50401.6,18.75,948006.0566286879,50556.42,186.04,50398.54
2021-02-24 12:00:00,0.05,50397.3,51300.0,50391.132,50774.399,23.61,1202006.6431644903,50907.73,219.33,50640.75
2021-02-24 13:00:00,0.1,50761.77,51089.154,49093.667,49514.992,63.35,3157196.8768507093,49839.74,478.7,49365.9
2021-02-24 14:00:00,0.07,49511.505,49804.57,48767.13,49473.137,36.01,1775903.7400547583,49311.93,258.33,48825.47
2021-02-24 15:00:00,0.06,49445.43,49877.059,48518.63,49877.058,37.28,1837104.6440342446,49280.56,348.01,49067.1
2021-02-24 16:00:00,0.04,49860.121,50149.734,49360.01,49360.01,29.1,1449567.800347695,49805.94,167.6,49817.22
2021-02-24 17:00:00,0.03,49435.14,50063.895,49380.08,50050.175,17.65,878650.5593072094,49786.38,126.27,49879.22
2021-02-24 18:00:00,0.03,50071.68,50071.68,49567.227,49585.974,21.01,1046004.8262369272,49797.74,122.4,49775.66
2021-02-24 19:00:00,0.03,49605.0,49695.27,48861.2,48984.14,17.74,873629.4356378687,49257.82,254.68,49000.0
2021-02-24 20:00:00,0.03,48950.8,49279.19,48623.55,49184.99,16.05,785005.9310625651,48907.01,170.82,48982.99
2021-02-24 21:00:00,0.05,49122.005,49170.683,48120.0,48787.489,33.35,1617235.3188943705,48486.39,234.45,48356.22
2021-02-24 22:00:00,0.03,48731.15,48972.019,48084.824,48887.82,15.57,756020.9641480881,48566.46,230.19,48752.87
2021-02-24 23:00:00,0.04,48858.285,49775.153,48793.59,49742.749,33.44,1654902.246341511,49488.22,223.02,49750.0
