timestamp,Price [Md€],price_open,price_high,price_low,price_close,Amount [BTC],weighted_volume,cbse_vwap,sigma,vwmp_lower
2021-02-24 00:00:00,1.45,48899.99,49114.02,47002.0,48487.22,1968.97,94402788.02088109,47945.34,525.15,48577.2
2021-02-24 01:00:00,1.52,48498.8,50353.43,48437.32,50236.98,1900.25,93715184.15592434,49317.2,443.3,48703.58
2021-02-24 02:00:00,1.74,50236.98,50600.0,49832.71,50220.01,1904.7,95709065.31352204,50248.89,175.48,50078.86
2021-02-24 03:00:00,1.29,50220.01,51000.0,50084.76,50932.71,1350.36,68190889.8776439,50498.14,216.81,50466.57
2021-02-24 04:00:00,1.35,50929.46,51398.0,50358.54,50650.86,1920.44,97832213.62067871,50942.65,239.3,50668.33
2021-02-24 05:00:00,0.91,50655.08,51025.22,49978.89,50225.89,1047.17,52896923.10597656,50513.99,257.94,50830.63
2021-02-24 06:00:00,0.96,50234.41,50705.94,49436.23,50099.64,1077.13,53837799.27731464,49982.47,306.34,50170.68
2021-02-24 07:00:00,0.58,50098.05,50350.0,49520.91,50082.62,498.93,24926307.17354222,49959.62,191.18,50255.06
2021-02-24 08:00:00,0.6,50090.93,50891.81,49782.86,50666.7,503.58,25451306.14347875,50541.09,228.41,50184.44
2021-02-24 09:00:00,0.67,50664.17,51415.41,50356.56,50900.68,551.97,28095949.551858936,50901.0,244.5,50820.01
2021-02-24 10:00:00,0.6,50904.97,51055.38,50110.0,50134.22,779.47,39381735.77045213,50523.89,204.92,50498.84
2021-02-24 11:00:00,0.59,50129.71,50939.86,50129.7,50380.0,561.86,28373060.32160205,50498.46,172.94,50239.09
2021-02-24 12:00:00,0.85,50379.99,51332.84,50368.45,50738.3,1149.14,58532271.34956407,50935.79,226.01,51108.72
2021-02-24 13:00:00,1.28,50738.3,51123.31,49000.0,49479.41,2158.87,107536398.48432145,49811.47,491.19,49762.17
2021-02-24 14:00:00,1.14,49479.41,49804.39,48731.33,49427.61,1316.22,64880974.095508076,49293.35,237.8,49503.71
2021-02-24 15:00:00,1.34,49427.61,49877.97,48500.0,49850.22,1792.01,88211571.7818646,49224.86,359.76,49492.63
2021-02-24 16:00:00,0.96,49850.0,50144.92,49353.95,49371.5,1160.92,57754551.40371778,49748.95,162.19,49717.89
2021-02-24 17:00:00,0.85,49371.49,50113.72,49360.64,50096.69,880.59,43865193.4193901,49813.53,139.09,49837.46
2021-02-24 18:00:00,0.84,50096.69,50103.57,49544.84,49619.18,975.31,48561042.66570701,49790.61,133.26,49703.37
2021-02-24 19:00:00,0.96,49619.19,49733.51,48833.24,48990.27,1273.65,62739941.18956835,49259.86,241.39,49000.0
2021-02-24 20:00:00,0.96,48990.27,49276.8,48608.58,49174.4,1408.39,68902412.38857353,48922.87,165.76,48977.24
2021-02-24 21:00:00,1.01,49174.41,49174.41,48111.0,48757.56,1256.83,60927061.256046474,48476.88,245.53,48641.53
2021-02-24 22:00:00,0.97,48758.08,48987.38,48078.62,48850.4,916.8,44537539.04287031,48579.18,220.53,48568.0
2021-02-24 23:00:00,0.89,48842.66,49788.0,48775.05,49737.82,987.01,48786868.73038161,49428.97,212.73,49227.93
