timestamp,Price [Md€],price_open,price_high,price_low,price_close,Amount [BTC],weighted_volume,stmp_vwap,sigma,vwmp_lower
2021-02-24 00:00:00,0.1,48927.33,49098.88,47000.0,48504.0,314.35,15071450.009319682,47944.26,573.97,47625.91
2021-02-24 01:00:00,0.14,48476.94,50232.0,48425.2,50206.74,605.73,29814180.817011118,49220.3,435.34,48915.44
2021-02-24 02:00:00,0.13,50224.22,50820.16,49815.26,50202.83,478.68,24069785.397645913,50283.56,174.27,50319.47
2021-02-24 03:00:00,0.09,50190.12,51000.0,50090.0,50939.95,347.24,17525973.950918186,50472.64,207.25,50898.12
2021-02-24 04:00:00,0.11,50937.53,51459.51,50342.26,50650.54,395.45,20163057.020202376,50987.94,237.48,50975.37
2021-02-24 05:00:00,0.11,50665.34,51039.0,50000.0,50245.64,372.36,18781846.771056566,50440.12,233.72,50215.15
2021-02-24 06:00:00,0.11,50264.18,50710.31,49443.41,50109.14,366.65,18310412.653257042,49939.78,283.47,50476.72
2021-02-24 07:00:00,0.08,50095.36,50350.29,49531.41,50060.64,201.41,10065509.026854318,49974.24,185.89,50171.0
2021-02-24 08:00:00,0.14,50100.0,51089.72,49812.0,50700.14,558.41,28252359.978117675,50594.39,225.24,50493.97
2021-02-24 09:00:00,0.14,50659.75,51443.47,50387.22,50889.26,483.82,24627805.791191764,50902.71,235.97,50582.27
2021-02-24 10:00:00,0.1,50923.48,51051.0,50096.98,50115.03,387.62,19609777.16673479,50590.39,223.42,50918.19
2021-02-24 11:00:00,0.08,50127.96,50920.97,50127.39,50381.65,242.73,12253259.193779333,50480.34,174.35,50556.91
2021-02-24 12:00:00,0.12,50408.26,51310.99,50364.29,50709.43,390.43,19891304.399247088,50947.57,199.92,50525.81
2021-02-24 13:00:00,0.18,50745.92,51100.0,49050.0,49494.86,710.69,35458819.93727203,49893.77,551.15,49440.35
2021-02-24 14:00:00,0.15,49519.1,49787.02,48729.36,49432.76,580.65,28588934.43735431,49236.2,233.05,48757.03
2021-02-24 15:00:00,0.13,49430.41,49884.52,48488.51,49847.54,339.08,16690166.888249276,49221.75,366.79,49463.39
2021-02-24 16:00:00,0.09,49847.54,50155.0,49328.53,49371.52,245.39,12210038.824979845,49757.7,167.6,50064.47
2021-02-24 17:00:00,0.06,49368.78,50099.91,49354.01,50086.38,132.07,6583312.83620349,49847.05,151.52,49812.89
2021-02-24 18:00:00,0.07,50061.08,50091.97,49545.55,49618.4,183.94,9167148.653415184,49838.08,139.52,50014.64
2021-02-24 19:00:00,0.1,49631.06,49748.4,48850.23,48991.68,264.36,13042611.91609194,49337.14,234.32,49084.18
2021-02-24 20:00:00,0.1,48971.58,49293.55,48615.55,49178.11,291.51,14262830.248445414,48927.91,172.72,49113.52
2021-02-24 21:00:00,0.1,49152.28,49191.28,48130.0,48786.95,311.15,15094048.8277942,48509.78,268.55,48320.0
2021-02-24 22:00:00,0.09,48768.54,48995.2,48050.0,48843.17,225.76,10967694.116073545,48580.63,238.29,48821.53
2021-02-24 23:00:00,0.1,48831.81,49789.41,48798.61,49754.0,343.38,16998963.507058624,49504.55,197.91,49493.89
