timestamp,Price [Md€],price_open,price_high,price_low,price_close,Amount [BTC],weighted_volume,okcn_vwap,sigma,okcn_vwmp (lower)
2021-02-24 00:00:00,0.03,48906.05,49078.28,47012.76,48446.34,51.32,2461147.23966,47954.73,531.46,47800.7
2021-02-24 01:00:00,0.03,48516.41,50201.53,48476.68,50201.53,36.39,1798288.705533,49422.82,428.59,48876.62
2021-02-24 02:00:00,0.03,50240.11,50573.85,49853.89,50189.77,35.84,1800007.040969,50218.79,163.36,50392.72
2021-02-24 03:00:00,0.02,50186.42,50977.14,50131.61,50968.49,17.36,875424.700265,50435.24,176.05,50970.65
2021-02-24 04:00:00,0.02,50962.95,51383.99,50365.76,50666.0,23.77,1213046.068293,51023.2,228.36,50770.0
2021-02-24 05:00:00,0.02,50721.28,51044.41,50019.98,50250.84,21.63,1090054.589052,50399.46,253.91,50186.14
2021-02-24 06:00:00,0.03,50498.53,50660.34,49496.23,50104.04,36.78,1836860.768743,49940.21,284.46,49689.23
2021-02-24 07:00:00,0.02,50206.4,50345.18,49561.04,50078.48,23.97,1199428.8220560001,50030.4,177.16,49691.87
2021-02-24 08:00:00,0.03,50119.82,50881.7,49814.39,50676.57,23.65,1193829.074994,50482.66,241.39,50555.45
2021-02-24 09:00:00,0.03,50665.65,51432.06,50371.57,50899.67,41.05,2093997.996493,51005.57,240.79,51155.96
2021-02-24 10:00:00,0.03,50905.82,51041.91,50124.23,50144.41,16.34,826249.857094,50564.54,195.49,50615.59
2021-02-24 11:00:00,0.03,50140.45,50924.23,50140.45,50377.79,10.53,532205.949524,50556.76,175.23,50749.53
2021-02-24 12:00:00,0.03,50406.27,51338.97,50378.29,50735.42,28.4,1446101.470803,50921.93,216.31,51113.47
2021-02-24 13:00:00,0.06,50779.47,51105.22,49108.0,49502.71,74.76,3734364.159193,49953.17,491.99,50243.46
2021-02-24 14:00:00,0.03,49532.6,49797.52,48797.43,49416.13,23.04,1137042.382244,49345.87,228.37,49607.48
2021-02-24 15:00:00,0.03,49385.65,49881.16,48509.32,49832.52,51.19,2522930.017222,49288.11,353.15,48901.63
2021-02-24 16:00:00,0.03,49887.05,50164.28,49355.08,49400.36,31.88,1588649.946978,49824.68,182.31,49543.42
2021-02-24 17:00:00,0.02,49407.81,50096.73,49364.96,50096.73,16.63,828614.53069,49817.8,138.42,49975.78
2021-02-24 18:00:00,0.02,50118.14,50171.79,49569.8,49622.72,19.73,982389.303725,49797.71,143.39,49830.01
2021-02-24 19:00:00,0.02,49630.99,49719.18,48883.68,49003.83,30.8,1519994.903565,49343.11,235.93,49579.09
2021-02-24 20:00:00,0.02,49006.93,49265.31,48614.98,49195.04,18.32,894792.944807,48851.21,166.4,48800.0
2021-02-24 21:00:00,0.02,49104.75,49193.77,48170.42,48798.62,19.49,944263.299876,48451.59,260.84,48978.83
2021-02-24 22:00:00,0.02,48737.81,48999.82,48082.02,48894.64,14.67,712026.284579,48543.5,219.03,48590.32
2021-02-24 23:00:00,0.02,48801.95,49786.94,48772.51,49724.93,28.19,1397514.716357,49568.86,188.71,49213.08
