timestamp,Price [Md€],price_open,price_high,price_low,price_close,Amount [BTC],weighted_volume,bfly_vwap,sigma,bfly_vwmp (lower)
2021-02-24 00:00:00,0.0,48929.54,48929.54,47086.89,47300.6,1.01,48459.195495537104,47976.36,563.32,47743.62
2021-02-24 00:30:00,0.0,47399.97,48191.14,47399.97,48191.14,0.95,45511.254933769,48039.65,281.62,48128.38
2021-02-24 01:00:00,0.0,48934.14,48934.14,48798.7,48798.7,0.21,10263.9798,48876.09,67.72,48798.7
2021-02-24 01:30:00,0.0,49140.16,50161.64,49140.16,50161.64,0.83,41136.680446512604,49793.95,304.41,50161.64
2021-02-24 02:00:00,0.0,49994.55,50513.79,49994.55,50136.78,1.77,88601.1105154044,50196.68,130.52,49994.55
2021-02-24 03:30:00,0.0,50948.0,50948.0,50948.0,50948.0,0.25,12737.0,50948.0,0.0,50948.0
2021-02-24 04:00:00,0.0,51025.46,51025.46,50736.28,50743.89,0.77,39207.5746515816,50892.81,140.0,51025.46
2021-02-24 06:00:00,0.0,50050.8,50050.8,49656.52,49656.52,0.13,6590.034226184,49698.24,181.0,49699.15
2021-02-24 06:30:00,0.0,49923.2,50018.9,49923.2,50018.9,1.44,71896.26842000001,50004.36,33.11,50018.9
2021-02-24 07:00:00,0.0,49680.1,49680.1,49680.1,49680.1,0.03,1623.412525332,49680.1,0.0,49680.1
2021-02-24 08:00:00,0.0,49890.34,50410.65,49890.34,50410.65,0.79,39443.9288636705,50142.8,254.9,50410.65
2021-02-24 08:30:00,0.0,50726.45,50726.45,50726.45,50726.45,0.0,96.38025499999999,50726.45,0.0,50726.45
2021-02-24 09:00:00,0.0,50890.43,50900.0,50890.43,50900.0,0.11,5598.9043,50899.13,4.78,50890.43
2021-02-24 09:30:00,0.0,50907.35,50907.35,50846.85,50846.85,0.24,12210.503999999999,50877.1,30.25,50907.35
2021-02-24 10:30:00,0.0,50544.26,50544.26,50486.11,50486.11,0.14,6984.158402,50536.6,29.08,50486.11
2021-02-24 11:00:00,0.0,50500.0,50500.0,50436.16,50436.16,0.27,13640.99844,50471.66,27.64,50500.0
2021-02-24 11:30:00,0.0,50702.08,50702.08,50702.08,50702.08,0.0,152.10624,50702.08,0.0,50702.08
2021-02-24 12:00:00,0.0,51078.18,51078.18,51078.18,51078.18,0.0,51.07818,51078.18,0.0,51078.18
2021-02-24 12:30:00,0.0,51229.87,51229.87,51229.87,51229.87,0.12,6147.5844,51229.87,0.0,51229.87
2021-02-24 13:00:00,0.0,50500.0,50500.0,49560.79,49560.79,1.05,52929.086808893204,50205.1,322.25,50124.32
2021-02-24 13:30:00,0.0,49316.51,49870.34,48978.31,49699.0,2.84,140462.28021486232,49487.34,247.24,49381.93
2021-02-24 14:00:00,0.0,49700.0,49700.0,49272.35,49516.91,1.07,52942.4773166,49303.85,145.4,49280.97
2021-02-24 14:30:00,0.0,49344.0,49344.0,48888.0,49026.73,0.32,15913.898901047602,49140.87,157.06,49026.73
2021-02-24 15:00:00,0.0,49085.09,49127.37,48517.6,48971.42,2.35,114653.967711,48782.69,226.42,48631.44
2021-02-24 15:30:00,0.0,49304.15,49321.43,49304.15,49321.43,0.01,532.6403399999999,49318.55,8.64,49304.15
2021-02-24 16:00:00,0.0,50314.08,50314.08,49449.13,49584.9,0.88,43771.8663965844,49646.89,243.71,49766.55
2021-02-24 16:30:00,0.0,49537.17,49537.17,49537.17,49537.17,0.01,568.3295486042999,49537.17,0.0,49537.17
2021-02-24 17:00:00,0.0,49717.23,49779.0,49717.23,49779.0,0.01,647.16190269,49731.53,30.88,49779.0
2021-02-24 17:30:00,0.0,49704.36,49731.74,49704.36,49731.74,0.07,3251.7462388724,49710.81,13.69,49731.74
2021-02-24 18:00:00,0.0,49600.0,49600.0,49600.0,49600.0,0.12,5952.0,49600.0,0.0,49600.0
2021-02-24 18:30:00,0.0,49700.0,49700.0,49700.0,49700.0,0.0,149.1,49700.0,0.0,49700.0
2021-02-24 19:00:00,0.0,49444.96,49444.96,49444.96,49444.96,0.1,4944.496,49444.96,0.0,49444.96
2021-02-24 19:30:00,0.0,49444.96,49444.96,48997.6,48997.6,0.37,18048.50419872,49122.64,200.71,49444.96
2021-02-24 20:00:00,0.0,49144.07,49144.07,49144.07,49144.07,0.46,22563.403827739,49144.07,0.0,49144.07
2021-02-24 20:30:00,0.0,48900.23,49279.32,48847.56,49279.32,1.05,51390.503574,48924.7,129.8,48929.05
2021-02-24 21:00:00,0.0,48844.07,48844.07,48272.99,48478.83,0.7,33925.8914055356,48418.91,204.24,48272.99
2021-02-24 21:30:00,0.0,48202.94,48499.0,48202.94,48499.0,0.42,20172.032399634,48380.37,94.49,48413.49
2021-02-24 22:00:00,0.0,48211.04,48293.7,48070.33,48252.47,1.6,77194.939458285,48226.1,60.4,48168.94
2021-02-24 22:30:00,0.0,48864.19,48864.19,48864.19,48864.19,0.12,5863.7028,48864.19,0.0,48864.19
2021-02-24 23:30:00,0.0,49603.44,49712.15,49603.44,49712.15,0.08,4087.91049,49610.56,54.35,49712.15
