timestamp,Price [Md€],price_open,price_high,price_low,price_close,Amount [BTC],weighted_volume,stmp_vwap,sigma,stmp_vwmp (lower)
2021-02-24 00:00:00,0.06,48927.33,49098.88,47000.0,47239.68,225.27,10808851.17371894,47982.61,673.3,48702.61
2021-02-24 00:30:00,0.03,47275.7,48517.93,47275.7,48504.0,89.09,4262598.835600741,47847.3,294.21,47753.52
2021-02-24 01:00:00,0.07,48476.94,49355.73,48425.2,49155.93,348.21,17048136.081726402,48958.77,231.22,49300.0
2021-02-24 01:30:00,0.07,49180.68,50232.0,48740.75,50206.74,257.52,12766044.735284716,49573.94,356.33,49743.33
2021-02-24 02:00:00,0.08,50224.22,50820.16,49815.26,50045.09,269.3,13535741.578984851,50263.02,210.07,50324.86
2021-02-24 02:30:00,0.05,50054.3,50485.11,50047.6,50202.83,209.38,10534043.818661062,50309.97,92.87,50092.97
2021-02-24 03:00:00,0.05,50190.12,50540.0,50090.0,50278.19,229.46,11559164.172364859,50376.11,87.78,50405.62
2021-02-24 03:30:00,0.04,50301.24,51000.0,50238.81,50939.95,117.78,5966809.778553329,50660.69,231.32,50822.83
2021-02-24 04:00:00,0.07,50937.53,51459.51,50689.07,50721.44,263.05,13445170.07707348,51112.57,167.65,51313.9
2021-02-24 04:30:00,0.05,50713.27,50962.54,50342.26,50650.54,132.4,6717886.943128898,50740.32,135.76,50737.18
2021-02-24 05:00:00,0.06,50665.34,51039.0,50000.0,50396.77,210.78,10642413.45970698,50490.29,307.73,50156.8
2021-02-24 05:30:00,0.05,50379.76,50552.88,50200.0,50245.64,161.58,8139433.311349585,50374.68,81.44,50303.93
2021-02-24 06:00:00,0.07,50264.18,50710.31,49443.41,49687.12,227.3,11354422.444104679,49952.88,325.26,50521.56
2021-02-24 06:30:00,0.04,49673.99,50406.83,49575.0,50109.14,139.35,6955990.209152364,49918.42,191.18,49630.04
2021-02-24 07:00:00,0.04,50095.36,50173.64,49531.41,49702.15,97.21,4844851.382464005,49838.14,146.22,49784.31
2021-02-24 07:30:00,0.04,49712.25,50350.29,49712.25,50060.64,104.2,5220657.644390313,50101.2,115.23,50135.77
2021-02-24 08:00:00,0.07,50100.0,50910.53,49812.0,50633.95,253.53,12801747.719633535,50494.22,259.73,50560.36
2021-02-24 08:30:00,0.07,50643.59,51089.72,50340.01,50700.14,304.88,15450612.25848414,50677.7,147.39,50745.4
2021-02-24 09:00:00,0.07,50659.75,51020.66,50387.22,50810.51,280.25,14223488.122745704,50752.35,167.53,50947.78
2021-02-24 09:30:00,0.07,50797.05,51443.47,50797.05,50889.26,203.57,10404317.66844606,51109.7,161.84,51202.4
2021-02-24 10:00:00,0.06,50923.48,51051.0,50160.49,50434.52,230.36,11675533.612618148,50683.6,220.01,50594.46
2021-02-24 10:30:00,0.05,50455.27,50648.89,50096.98,50115.03,157.26,7934243.55411664,50453.86,141.01,50583.96
2021-02-24 11:00:00,0.04,50127.96,50920.97,50127.39,50778.74,115.65,5841820.793943054,50513.53,190.72,50394.98
2021-02-24 11:30:00,0.04,50779.4,50867.99,50220.72,50381.65,127.08,6411438.3998362785,50450.13,153.25,50506.84
2021-02-24 12:00:00,0.05,50408.26,51203.95,50364.29,51119.17,161.76,8233261.479319023,50898.36,210.13,50976.93
2021-02-24 12:30:00,0.07,51137.52,51310.99,50620.44,50709.43,228.67,11658042.919928065,50982.38,173.67,50933.34
2021-02-24 13:00:00,0.1,50745.92,51100.0,49500.0,49606.85,386.42,19446402.493739177,50324.69,473.49,49927.4
2021-02-24 13:30:00,0.08,49620.0,49863.23,49050.0,49494.86,324.27,16012417.443532847,49380.26,176.46,49740.53
2021-02-24 14:00:00,0.04,49519.1,49787.02,49100.7,49487.9,116.33,5759055.5983110955,49505.69,157.75,49132.36
2021-02-24 14:30:00,0.11,49506.05,49664.18,48729.36,49432.76,464.32,22829878.839043215,49168.68,188.18,49012.72
2021-02-24 15:00:00,0.07,49430.41,49643.07,48488.51,49181.8,166.6,8157014.570447179,48960.41,315.33,48891.84
2021-02-24 15:30:00,0.06,49171.11,49884.52,49000.08,49847.54,172.48,8533152.317802098,49474.2,201.92,49642.97
2021-02-24 16:00:00,0.06,49847.54,50155.0,49418.88,49518.52,177.97,8861948.026011575,49794.51,173.29,49426.51
2021-02-24 16:30:00,0.04,49536.01,49892.65,49328.53,49371.52,67.42,3348090.79896827,49660.52,119.52,49354.68
2021-02-24 17:00:00,0.04,49368.78,49997.49,49354.01,49738.59,65.17,3245572.8992965687,49804.01,167.48,49975.0
2021-02-24 17:30:00,0.03,49736.75,50099.91,49629.06,50086.38,66.9,3337739.936906922,49888.97,110.5,49958.14
2021-02-24 18:00:00,0.04,50061.08,50091.97,49545.55,49704.48,92.29,4598421.774813216,49826.3,157.99,49592.11
2021-02-24 18:30:00,0.04,49687.99,50022.34,49596.7,49618.4,91.65,4568726.878601969,49849.93,119.89,49638.46
2021-02-24 19:00:00,0.05,49631.06,49748.4,49367.7,49451.55,149.89,7421620.875325801,49513.52,84.54,49435.46
2021-02-24 19:30:00,0.05,49440.65,49450.88,48850.23,48991.68,114.47,5620991.040766139,49106.18,117.0,49315.14
2021-02-24 20:00:00,0.04,48971.58,49293.55,48764.54,48923.63,92.81,4552205.801759017,49046.47,133.71,49117.96
