timestamp,Price [Md€],price_open,price_high,price_low,price_close,Amount [BTC],weighted_volume,lmax_vwap,sigma,lmax_vwmp (upper)
2021-02-24 00:00:00,0.05,48892.5,49080.5,46918.718,47265.5,513.5,24608830.45391,47923.72,696.22,47792.0
2021-02-24 00:30:00,0.03,47248.5,48504.0,47248.5,48504.0,181.54,8670351.2295,47760.0,232.67,47742.0
2021-02-24 01:00:00,0.02,48495.0,49378.5,48438.0,49192.0,178.72,8727366.59973,48832.62,224.06,49034.75
2021-02-24 01:30:00,0.02,49209.5,50240.88,48753.5,50160.5,189.34,9399895.38694,49645.59,341.1,49850.0
2021-02-24 02:00:00,0.04,50181.0,50569.5,49799.5,50018.0,224.74,11277167.55133,50178.73,206.75,50181.0
2021-02-24 02:30:00,0.03,50120.0,50485.0,50033.0,50191.5,193.44,9727115.9795,50284.93,96.75,50120.0
2021-02-24 03:00:00,0.02,50171.0,50541.5,50073.75,50276.5,139.68,7035704.4967,50370.16,88.36,50436.5
2021-02-24 03:30:00,0.03,50254.0,50999.5,50238.5,50929.0,172.01,8691693.7716,50530.17,250.21,50377.75
2021-02-24 04:00:00,0.03,50937.25,51409.0,50705.0,50766.4,171.5,8763504.0884,51099.15,150.56,51140.0
2021-02-24 04:30:00,0.03,50819.0,50968.0,50353.25,50623.0,211.63,10719283.98005,50651.06,161.14,50819.0
2021-02-24 05:00:00,0.03,50761.6,51032.5,50028.5,50377.5,191.34,9664614.00857,50510.16,323.72,50571.5
2021-02-24 05:30:00,0.01,50379.0,50543.5,50236.5,50236.5,58.95,2968513.3304,50356.46,75.08,50521.0
2021-02-24 06:00:00,0.04,50225.5,50691.0,49475.0,49677.5,327.49,16414067.62123,50120.82,384.51,49640.0
2021-02-24 06:30:00,0.02,49644.5,50389.5,49589.5,50096.0,163.3,8155767.28815,49943.46,182.38,50097.5
2021-02-24 07:00:00,0.02,50099.75,50182.5,49566.0,49678.5,94.66,4716674.10706,49827.53,147.49,49678.5
2021-02-24 07:30:00,0.02,49720.0,50358.5,49720.0,50078.0,116.08,5819541.98138,50133.89,113.62,50148.5
2021-02-24 08:00:00,0.03,50037.5,50901.5,49770.5,50673.0,177.66,8968613.09077,50481.89,249.94,50576.0
2021-02-24 08:30:00,0.03,50665.0,50888.0,50340.0,50674.5,158.44,8022203.2891,50632.44,114.06,50616.5
2021-02-24 09:00:00,0.03,50679.5,50986.25,50389.0,50776.0,161.54,8195525.68965,50733.72,170.89,50679.5
2021-02-24 09:30:00,0.03,50834.0,51449.5,50800.0,50896.5,140.61,7194228.38709,51164.41,170.38,50834.0
2021-02-24 10:00:00,0.01,50994.0,51068.9,50198.5,50568.5,92.78,4699874.81429,50656.12,228.26,50939.96
2021-02-24 10:30:00,0.02,50473.0,50671.5,50127.5,50136.5,192.58,9715019.8649,50446.67,132.98,50557.0
2021-02-24 11:00:00,0.02,50160.5,50910.5,50152.63,50769.0,184.78,9341496.2506,50554.69,177.99,50299.0
2021-02-24 11:30:00,0.03,50767.5,50885.5,50220.0,50388.5,241.35,12180492.6096,50468.17,174.07,50664.0
2021-02-24 12:00:00,0.03,50397.1,51201.0,50374.0,51171.5,285.24,14503343.5454,50846.11,217.96,51171.5
2021-02-24 12:30:00,0.05,51140.0,51297.5,50643.0,50714.5,472.85,24097569.38792,50962.4,162.39,50850.0
2021-02-24 13:00:00,0.09,50788.0,51089.5,49475.5,49595.0,801.29,40200883.526539996,50170.2,419.92,50704.4
2021-02-24 13:30:00,0.07,49723.0,49853.75,49045.0,49468.0,628.48,31040317.02035,49389.51,175.64,49723.0
2021-02-24 14:00:00,0.03,49603.5,49793.75,49169.0,49477.0,189.76,9386532.1374,49465.28,153.65,49477.0
2021-02-24 14:30:00,0.04,49544.5,49667.0,48738.5,49443.5,355.04,17458165.5077,49172.39,216.64,49544.5
2021-02-24 15:00:00,0.03,49441.5,49639.0,48458.0,49148.0,176.68,8657022.13328,48998.31,340.42,49101.5
2021-02-24 15:30:00,0.05,49124.0,49877.5,49016.0,49845.81,252.8,12527041.828710001,49553.17,209.6,49357.0
2021-02-24 16:00:00,0.03,49866.0,50143.5,49382.5,49490.0,239.3,11919758.49412,49810.94,165.48,49490.0
2021-02-24 16:30:00,0.02,49508.0,49853.5,49343.0,49362.5,123.15,6114129.0791,49647.82,119.84,49508.0
2021-02-24 17:00:00,0.02,49401.0,49981.5,49355.5,49734.23,95.0,4733459.58327,49825.89,134.39,49807.0
2021-02-24 17:30:00,0.02,49731.5,50102.0,49616.0,50076.0,118.36,5901493.60717,49860.54,110.19,49731.5
2021-02-24 18:00:00,0.03,50077.5,50097.5,49551.0,49683.0,162.15,8071580.59574,49778.48,147.09,49870.0
2021-02-24 18:30:00,0.02,49682.5,50044.5,49605.0,49611.0,105.65,5263934.90262,49824.28,118.33,49611.0
2021-02-24 19:00:00,0.02,49628.001,49731.5,49357.5,49483.0,186.37,9225532.9806,49501.17,87.74,49483.0
2021-02-24 19:30:00,0.02,49465.5,49465.5,48855.5,49001.0,142.66,7001263.13154,49076.57,106.54,49056.0
2021-02-24 20:00:00,0.02,48978.5,49270.5,48781.0,48918.0,114.18,5597029.32974,49019.35,128.76,48890.5
2021-02-24 20:30:00,0.02,48886.5,49259.5,48634.5,49179.5,157.24,7689687.55856,48904.14,181.5,48809.5
2021-02-24 21:00:00,0.03,49171.5,49175.0,48149.5,48225.0,270.25,13123669.00302,48561.22,296.47,48225.0
