timestamp,Price [Md€],price_open,price_high,price_low,price_close,Amount [BTC],weighted_volume,cbse_vwap,sigma,cbse_vwmp (lower)
2021-02-24 00:00:00,0.16,48899.99,49114.02,48552.62,48624.42,274.47,13412933.807009896,48868.16,143.97,49000.0
2021-02-24 00:05:00,0.11,48593.69,48735.98,48507.63,48633.92,129.09,6276538.8190618185,48620.96,54.58,48633.28
2021-02-24 00:10:00,0.12,48632.41,48638.57,48137.34,48142.8,165.13,7997949.79082629,48432.81,119.63,48609.38
2021-02-24 00:15:00,0.17,48142.8,48142.8,47583.0,47800.99,283.31,13546329.81938525,47813.96,145.73,47809.56
2021-02-24 00:20:00,0.17,47800.37,47806.83,47002.0,47104.64,292.3,13844766.145520233,47364.64,226.2,47600.0
2021-02-24 00:25:00,0.12,47122.79,47378.95,47013.4,47257.14,188.86,8919318.438176425,47226.45,67.55,47191.81
2021-02-24 00:30:00,0.14,47257.14,47736.0,47224.82,47650.01,179.99,8556755.672564384,47540.11,98.75,47497.0
2021-02-24 00:35:00,0.1,47664.14,47802.94,47563.33,47728.49,84.39,4024511.106557554,47688.99,51.46,47610.35
2021-02-24 00:40:00,0.1,47728.49,47855.0,47571.99,47734.83,110.62,5279466.993996261,47725.78,58.98,47730.03
2021-02-24 00:45:00,0.08,47749.12,47951.3,47714.43,47767.19,75.16,3593744.4889141857,47813.99,45.04,47885.23
2021-02-24 00:50:00,0.09,47773.75,48250.0,47722.25,48200.0,66.57,3191631.34752446,47940.78,158.08,48103.32
2021-02-24 00:55:00,0.1,48200.0,48525.23,48161.73,48487.22,119.05,5758841.591344328,48371.78,88.08,48419.99
2021-02-24 01:00:00,0.1,48498.8,48729.76,48437.32,48545.76,119.58,5807380.2062242245,48564.51,67.61,48483.34
2021-02-24 01:05:00,0.1,48545.77,48899.41,48545.76,48827.77,117.27,5718005.220190701,48759.29,75.37,48874.99
2021-02-24 01:10:00,0.11,48840.57,48975.0,48662.35,48758.8,149.99,7327748.471681199,48855.49,77.13,48945.82
2021-02-24 01:15:00,0.1,48758.8,49078.37,48741.62,49033.55,127.31,6233173.079374417,48961.97,72.45,48919.39
2021-02-24 01:20:00,0.12,49026.78,49219.95,48885.08,49219.59,154.15,7560472.901234307,49047.46,74.13,49138.7
2021-02-24 01:25:00,0.15,49220.0,49375.0,49129.23,49200.0,186.04,9167623.531258795,49277.49,61.49,49332.43
2021-02-24 01:30:00,0.13,49214.39,49237.6,48759.13,49031.44,126.17,6184391.99961979,49017.7,112.58,49082.98
2021-02-24 01:35:00,0.12,49029.72,49336.48,48928.62,49317.9,107.55,5289092.232940025,49178.03,107.01,49224.96
2021-02-24 01:40:00,0.17,49306.75,49897.0,49293.66,49764.72,291.17,14448499.102003815,49622.61,153.29,49619.24
2021-02-24 01:45:00,0.14,49751.48,49954.11,49650.02,49828.75,183.67,9148070.21218462,49806.05,68.65,49820.44
2021-02-24 01:50:00,0.13,49828.75,49837.61,49537.51,49813.98,146.67,7293481.978467525,49726.27,74.61,49767.2
2021-02-24 01:55:00,0.14,49813.98,50353.43,49655.36,50236.98,190.69,9537245.22074491,50014.25,160.44,49943.11
2021-02-24 02:00:00,0.23,50236.98,50597.47,49900.0,50588.9,388.3,19517413.33524907,50263.63,211.73,50432.19
2021-02-24 02:05:00,0.18,50588.91,50600.0,50250.0,50362.68,209.79,10587374.971881228,50466.66,74.69,50489.95
2021-02-24 02:10:00,0.15,50359.91,50381.47,50000.0,50343.82,145.46,7300823.420558628,50190.28,97.6,50045.07
2021-02-24 02:15:00,0.15,50343.82,50359.37,49906.1,50100.0,155.03,7766047.282565542,50092.68,117.79,49970.82
2021-02-24 02:20:00,0.12,50100.0,50169.57,49832.71,49857.97,140.93,7044019.78081641,49981.91,87.93,49879.11
2021-02-24 02:25:00,0.14,49857.98,50184.28,49840.44,50042.36,101.46,5074866.040527421,50016.3,76.81,49943.71
2021-02-24 02:30:00,0.14,50048.58,50375.17,50048.57,50230.81,146.03,7338872.789005758,50255.19,82.06,50351.12
2021-02-24 02:35:00,0.13,50228.51,50489.0,50224.39,50356.93,150.97,7607523.5720063755,50389.88,57.55,50459.0
2021-02-24 02:40:00,0.14,50357.69,50399.99,50039.71,50095.2,149.93,7528617.319727974,50215.82,97.99,50140.83
2021-02-24 02:45:00,0.12,50097.12,50450.0,50097.12,50337.77,116.95,5886946.808627438,50337.35,78.45,50200.0
2021-02-24 02:50:00,0.12,50354.92,50434.32,50255.01,50374.23,107.65,5417768.092635031,50329.89,36.92,50364.84
2021-02-24 02:55:00,0.12,50374.56,50436.53,50200.0,50220.01,92.19,4638791.899921175,50316.73,62.51,50295.14
2021-02-24 03:00:00,0.11,50220.01,50494.68,50084.76,50452.14,131.39,6609000.265867917,50298.98,111.38,50199.99
2021-02-24 03:05:00,0.14,50452.14,50559.39,50306.74,50363.25,145.16,7329518.805089968,50493.79,65.71,50470.01
2021-02-24 03:10:00,0.12,50363.25,50513.61,50265.46,50447.48,104.44,5265061.62615288,50410.53,55.48,50446.35
2021-02-24 03:15:00,0.1,50433.09,50518.8,50262.06,50484.52,78.36,3948072.2593931747,50384.24,57.79,50373.37
2021-02-24 03:20:00,0.1,50484.52,50491.84,50251.76,50318.39,133.69,6734055.345990174,50370.59,45.37,50300.0
2021-02-24 03:25:00,0.09,50318.39,50350.85,50226.15,50284.21,93.79,4716647.659128254,50290.28,27.08,50250.0
2021-02-24 03:30:00,0.09,50286.6,50384.29,50239.17,50384.29,106.19,5340305.12414391,50291.19,26.01,50317.16
2021-02-24 03:35:00,0.09,50384.29,50550.0,50324.44,50550.0,100.34,5057980.744336915,50406.98,56.7,50434.25
2021-02-24 03:40:00,0.09,50546.16,50559.99,50400.0,50448.5,76.51,3863637.6291582785,50497.09,46.14,50528.97
2021-02-24 03:45:00,0.11,50460.29,50750.0,50321.65,50746.45,98.37,4971868.943898997,50541.87,130.9,50400.0
2021-02-24 03:50:00,0.13,50746.46,50940.04,50740.05,50862.53,174.81,8888708.278374463,50848.0,41.33,50878.55
2021-02-24 03:55:00,0.12,50866.69,51000.0,50850.06,50932.71,107.31,5466033.196108964,50937.7,36.29,50881.64
2021-02-24 04:00:00,0.14,50929.46,51200.0,50929.46,51052.01,260.68,13306374.243964948,51044.8,49.6,51089.17
2021-02-24 04:05:00,0.12,51040.28,51277.04,51034.82,51222.13,239.22,12248370.321607409,51201.15,54.3,51250.01
2021-02-24 04:10:00,0.13,51222.16,51348.0,51200.0,51309.47,181.83,9322360.364109894,51269.49,40.43,51226.75
2021-02-24 04:15:00,0.15,51321.44,51398.0,50929.33,51021.41,245.94,12578300.323709127,51143.86,139.82,51342.05
2021-02-24 04:20:00,0.12,51015.95,51170.64,50844.54,51060.5,116.97,5963054.893029734,50979.42,73.03,50972.87
2021-02-24 04:25:00,0.12,51057.13,51100.0,50700.0,50712.59,137.15,6972321.487151647,50836.32,121.43,50858.96
2021-02-24 04:30:00,0.09,50721.08,50887.2,50649.83,50794.93,92.95,4720397.493107263,50783.87,46.39,50797.2
2021-02-24 04:35:00,0.1,50759.61,50870.03,50634.18,50653.42,115.28,5846285.807223632,50714.76,56.0,50737.01
2021-02-24 04:40:00,0.1,50647.46,50660.33,50358.54,50367.31,191.15,9649734.47536569,50482.92,78.0,50411.62
2021-02-24 04:45:00,0.09,50367.31,50718.47,50362.46,50718.47,100.27,5073863.019958744,50604.38,81.41,50489.9
2021-02-24 04:50:00,0.1,50718.46,50991.5,50679.55,50907.75,162.07,8244847.877459966,50872.88,63.73,50712.34
2021-02-24 04:55:00,0.08,50909.85,50926.59,50641.72,50650.86,76.94,3906303.313990652,50774.02,55.88,50818.38
2021-02-24 05:00:00,0.08,50655.08,50919.7,50655.07,50884.56,159.13,8089699.569954714,50837.73,63.6,50876.79
2021-02-24 05:05:00,0.09,50884.56,51025.22,50872.22,50939.88,145.83,7429098.721604708,50944.31,36.34,50942.6
2021-02-24 05:10:00,0.07,50939.88,50954.11,50648.15,50648.4,85.01,4316464.97495486,50777.25,89.79,50677.77
2021-02-24 05:15:00,0.1,50648.41,50648.41,50217.56,50249.49,110.83,5587141.658815422,50411.68,117.29,50499.99
2021-02-24 05:20:00,0.11,50243.16,50410.0,49978.89,50140.6,167.88,8420783.437583484,50158.57,106.9,50051.3
2021-02-24 05:25:00,0.08,50147.59,50448.83,50049.87,50394.38,88.96,4466501.956784327,50210.57,94.17,50154.63
2021-02-24 05:30:00,0.07,50394.38,50404.28,50200.71,50312.76,57.66,2900250.365670857,50299.09,46.86,50267.62
2021-02-24 05:35:00,0.06,50301.16,50527.62,50256.37,50502.98,62.58,3155816.345159334,50429.92,80.21,50470.32
2021-02-24 05:40:00,0.07,50496.73,50554.59,50274.29,50403.99,60.52,3051744.481101733,50426.13,71.63,50405.12
2021-02-24 05:45:00,0.06,50411.33,50528.52,50267.97,50277.68,36.53,1841774.4045654223,50414.92,66.13,50354.33
2021-02-24 05:50:00,0.06,50289.45,50477.89,50249.61,50347.35,37.58,1892782.6101700473,50362.26,58.86,50416.08
2021-02-24 05:55:00,0.05,50348.14,50439.94,50197.0,50225.89,34.67,1744864.5796116495,50330.58,64.55,50425.95
2021-02-24 06:00:00,0.07,50234.41,50579.7,50200.72,50530.48,79.3,4002258.647867019,50468.96,81.31,50555.94
2021-02-24 06:05:00,0.08,50522.17,50705.94,50426.06,50493.41,106.29,5373157.757059271,50552.15,69.8,50556.86
2021-02-24 06:10:00,0.14,50494.45,50552.18,49611.0,49740.4,191.73,9578633.568387663,49957.81,275.08,49967.65
2021-02-24 06:15:00,0.11,49746.26,49929.11,49436.23,49700.54,147.71,7337838.112400151,49676.28,126.81,49601.57
2021-02-24 06:20:00,0.08,49700.54,50151.78,49580.0,50118.99,87.96,4388946.7850950435,49896.81,175.06,50048.55
2021-02-24 06:25:00,0.08,50108.23,50108.23,49587.29,49665.03,75.01,3735892.753393814,49805.77,128.7,49950.0
2021-02-24 06:30:00,0.08,49658.53,49924.82,49579.63,49810.57,84.21,4189924.5685573374,49757.26,84.22,49711.85
2021-02-24 06:35:00,0.08,49796.73,49949.4,49539.19,49865.61,91.24,4537545.813628752,49729.42,86.5,49612.94
2021-02-24 06:40:00,0.07,49864.8,50040.58,49719.18,50037.4,61.5,3068942.506308527,49900.96,77.33,49870.24
2021-02-24 06:45:00,0.07,50037.39,50400.0,50009.42,50235.21,54.03,2712662.355627146,50209.68,103.92,50171.71
2021-02-24 06:50:00,0.06,50227.49,50238.41,49928.0,49988.9,59.28,2966324.461369939,50042.86,68.0,49937.32
2021-02-24 06:55:00,0.05,49973.6,50141.4,49934.18,50099.64,38.87,1945671.9476199783,50055.05,45.84,50048.71
2021-02-24 07:00:00,0.04,50098.05,50164.93,49926.53,50006.88,22.64,1132969.958431171,50047.07,60.51,50140.11
2021-02-24 07:05:00,0.06,50011.74,50095.0,49721.87,49821.73,44.0,2194859.8844040483,49886.24,104.56,49966.76
2021-02-24 07:10:00,0.07,49821.72,49841.65,49538.73,49548.22,62.86,3126439.6438651183,49733.54,83.18,49769.5
2021-02-24 07:15:00,0.06,49548.22,49863.18,49520.91,49709.43,49.49,2458239.6521481774,49669.43,92.38,49695.03
2021-02-24 07:20:00,0.05,49708.78,50041.15,49708.78,49974.05,34.59,1726362.2594478577,49913.65,84.07,49937.22
2021-02-24 07:25:00,0.06,49974.05,49990.49,49600.0,49696.16,46.54,2319581.753288952,49835.3,111.65,49799.98
2021-02-24 07:30:00,0.05,49696.17,50043.39,49696.17,49972.35,33.61,1678245.6326077601,49925.83,68.64,49843.63
2021-02-24 07:35:00,0.04,49972.35,50243.01,49917.53,50141.45,43.08,2157799.441287645,50088.13,92.32,50100.0
2021-02-24 07:40:00,0.03,50139.79,50179.91,50024.16,50088.56,25.94,1298974.8777429773,50080.7,36.23,50125.41
2021-02-24 07:45:00,0.04,50075.47,50247.22,49971.6,50182.55,29.36,1471447.9714898884,50122.57,72.23,50076.32
2021-02-24 07:50:00,0.05,50192.94,50350.0,50058.97,50133.73,69.29,3480112.1673060805,50222.34,73.53,50289.61
2021-02-24 07:55:00,0.03,50125.0,50205.29,50053.88,50082.62,37.52,1881273.9315225428,50137.46,36.2,50129.46
2021-02-24 08:00:00,0.06,50090.93,50214.04,49782.86,50208.48,60.32,3018631.6093724985,50047.7,101.17,49979.62
2021-02-24 08:05:00,0.05,50214.05,50500.0,50128.51,50480.01,39.23,1975620.5395768208,50361.37,100.3,50193.2
2021-02-24 08:10:00,0.04,50480.01,50499.76,50330.4,50496.62,22.8,1149636.2542636576,50412.38,40.04,50433.4
2021-02-24 08:15:00,0.08,50496.62,50888.71,50495.85,50753.82,59.53,3017859.801617225,50696.07,115.32,50615.59
2021-02-24 08:20:00,0.05,50733.82,50760.85,50572.9,50684.57,31.85,1613584.6120054524,50665.68,40.91,50654.77
2021-02-24 08:25:00,0.05,50686.11,50720.0,50549.77,50643.76,32.33,1636424.0857316928,50622.27,42.9,50641.05
2021-02-24 08:30:00,0.04,50644.06,50891.81,50636.08,50710.03,30.66,1556444.4044097243,50772.49,58.59,50716.72
2021-02-24 08:35:00,0.05,50705.46,50840.33,50641.46,50730.55,37.97,1926083.679189299,50732.36,46.8,50773.98
2021-02-24 08:40:00,0.05,50730.55,50738.24,50402.51,50433.83,64.92,3282531.394627735,50560.31,92.17,50500.0
2021-02-24 08:45:00,0.04,50433.82,50533.48,50338.02,50483.38,24.42,1231747.6285679406,50440.47,48.75,50477.25
2021-02-24 08:50:00,0.05,50483.28,50714.85,50463.22,50665.55,47.51,2404723.42423249,50611.8,67.79,50664.82
2021-02-24 08:55:00,0.05,50665.54,50752.41,50601.85,50666.7,52.05,2638018.7098842165,50683.67,32.74,50686.7
2021-02-24 09:00:00,0.05,50664.17,50668.53,50439.98,50492.19,33.0,1668124.960915195,50543.34,66.85,50573.97
2021-02-24 09:05:00,0.05,50493.09,50623.15,50400.0,50480.17,39.85,2013396.8344164018,50530.1,45.28,50543.36
2021-02-24 09:10:00,0.05,50469.75,50608.34,50356.56,50606.88,42.95,2169969.9093166864,50520.31,60.58,50366.96
2021-02-24 09:15:00,0.08,50609.49,50980.95,50606.87,50938.26,65.6,3335425.9661502703,50847.95,109.91,50872.79
2021-02-24 09:20:00,0.05,50941.33,50991.3,50762.8,50768.48,45.14,2296572.7303108447,50877.77,49.59,50898.33
2021-02-24 09:25:00,0.05,50768.49,50877.11,50696.7,50787.29,35.68,1812614.9453040636,50802.51,39.24,50849.96
2021-02-24 09:30:00,0.05,50796.87,50992.78,50795.02,50861.42,37.21,1894217.8020900534,50902.66,56.96,50884.77
2021-02-24 09:35:00,0.07,50845.75,51257.61,50822.12,51244.64,85.31,4358292.423622149,51086.48,113.69,50994.0
2021-02-24 09:40:00,0.07,51249.44,51415.41,51100.0,51297.19,58.59,3004193.7835209696,51274.86,79.18,51300.4
2021-02-24 09:45:00,0.07,51297.19,51354.82,50965.06,50980.03,45.16,2310316.9750072416,51158.12,86.4,51119.52
