timestamp,Price [Md€],price_open,price_high,price_low,price_close,Amount [BTC],weighted_volume,krkn_vwap,sigma,krkn_vwmp (lower)
2021-02-24 00:00:00,0.0,48899.6,48899.9,48899.6,48899.9,0.8,39341.325777217,48899.87,0.08,48899.9
2021-02-24 00:10:00,0.02,48899.6,48899.6,48172.0,48173.0,63.59,3082928.116532822,48478.96,137.97,48177.5
2021-02-24 00:15:00,0.04,48167.2,48167.2,47591.9,47822.3,63.85,3055189.634094838,47847.13,153.63,47600.0
2021-02-24 00:20:00,0.04,47790.4,47790.4,47050.0,47072.2,79.12,3744786.699005677,47329.01,202.5,47217.2
2021-02-24 00:25:00,0.03,47128.8,47300.0,47015.7,47245.8,99.65,4700668.205305749,47171.49,66.34,47100.0
2021-02-24 00:30:00,0.02,47225.0,47730.5,47225.0,47668.1,54.97,2610193.171062807,47486.65,108.23,47474.2
2021-02-24 00:35:00,0.02,47648.8,47801.0,47547.4,47695.4,27.53,1312409.322372688,47680.14,58.99,47699.0
2021-02-24 00:40:00,0.01,47699.9,47826.7,47600.2,47748.9,15.53,741041.632338478,47703.05,64.84,47685.6
2021-02-24 00:45:00,0.01,47738.0,48000.0,47738.0,47775.4,17.42,834506.721918146,47893.14,66.83,47806.7
2021-02-24 00:50:00,0.01,47812.3,48226.2,47750.0,48202.9,25.31,1214287.440666319,47976.88,143.92,47840.0
2021-02-24 00:55:00,0.01,48204.2,48499.0,48192.3,48498.9,36.42,1760225.030601743,48335.88,82.14,48238.0
2021-02-24 01:00:00,0.02,48499.0,48724.1,48462.8,48542.0,91.03,4425324.222150722,48614.5,61.31,48592.4
2021-02-24 01:05:00,0.02,48541.9,48859.7,48541.9,48826.1,34.57,1685251.515213721,48743.4,54.54,48738.3
2021-02-24 01:10:00,0.02,48819.6,48923.9,48643.1,48765.5,39.15,1910645.696938967,48798.8,75.13,48915.4
2021-02-24 01:15:00,0.02,48765.5,49112.8,48760.5,49025.7,76.29,3736099.1063584993,48969.14,79.86,49049.8
2021-02-24 01:20:00,0.02,49025.8,49145.8,48891.5,49145.8,35.41,1735653.586188822,49019.65,69.41,48980.1
2021-02-24 01:25:00,0.02,49145.7,49333.0,49116.7,49165.2,38.58,1900370.324520996,49259.37,56.39,49210.8
2021-02-24 01:30:00,0.02,49191.2,49210.1,48732.8,48981.4,38.64,1891007.930457885,48945.24,117.52,49044.4
2021-02-24 01:35:00,0.01,48999.8,49300.0,48903.2,49300.0,25.1,1233631.601731176,49144.03,109.77,49135.9
2021-02-24 01:40:00,0.03,49300.0,49900.0,49300.0,49767.2,77.64,3848725.414322942,49573.33,161.82,49514.6
2021-02-24 01:45:00,0.02,49706.7,49942.0,49665.0,49818.7,17.65,878892.41399688,49803.88,65.89,49860.0
2021-02-24 01:50:00,0.02,49802.3,49802.3,49531.8,49788.4,45.74,2272464.560000302,49681.28,73.85,49584.9
2021-02-24 01:55:00,0.03,49765.7,50200.0,49645.2,50180.4,55.72,2785689.481308061,49989.99,144.32,50000.0
2021-02-24 02:00:00,0.04,50200.0,50564.5,49910.2,50559.7,100.81,5065068.449628888,50243.85,192.87,50180.0
