timestamp,Price [Md€],price_open,price_high,price_low,price_close,Amount [BTC],weighted_volume,lmax_vwap,sigma,lmax_vwmp (lower)
2021-02-24 00:00:00,0.01,48892.5,49080.5,48559.5,48559.5,125.46,6130196.36041,48861.76,100.55,48949.0
2021-02-24 00:05:00,0.01,48694.0,48761.0,48503.5,48585.0,43.99,2137809.66546,48597.63,50.17,48622.0
2021-02-24 00:10:00,0.01,48592.0,48608.0,48100.5,48147.5,35.48,1718433.64534,48433.87,144.5,48465.0
2021-02-24 00:15:00,0.01,48130.5,48130.5,47568.5,47744.5,82.86,3959287.37059,47782.86,137.38,47615.5
2021-02-24 00:20:00,0.01,47775.5,47775.5,46918.718,47090.0,120.22,5680134.35089,47247.83,169.22,47591.0
2021-02-24 00:25:00,0.01,47156.5,47320.5,47008.5,47265.5,105.49,4982969.06122,47236.41,61.69,47204.0
2021-02-24 00:30:00,0.0,47248.5,47728.25,47248.5,47658.0,41.8,1985880.78481,47509.11,94.44,47248.5
2021-02-24 00:35:00,0.01,47678.5,47802.0,47599.0,47671.0,45.19,2155505.75115,47698.73,55.56,47687.5
2021-02-24 00:40:00,0.01,47742.0,47895.0,47582.5,47708.0,39.56,1888627.10949,47740.83,76.83,47694.5
2021-02-24 00:45:00,0.0,47811.5,47905.0,47730.5,47739.5,12.61,602828.51455,47805.59,39.41,47796.5
2021-02-24 00:50:00,0.0,47722.0,48193.0,47708.0,48193.0,23.9,1144875.68,47902.75,118.72,47804.5
2021-02-24 00:55:00,0.0,48170.89,48504.0,48164.0,48504.0,18.48,892633.3895,48302.67,91.1,48401.0
2021-02-24 01:00:00,0.0,48495.0,48690.0,48438.0,48518.499,24.16,1173267.24276,48562.39,62.37,48495.0
2021-02-24 01:05:00,0.0,48558.0,48850.5,48543.0,48801.0,27.69,1349204.7829,48725.34,66.96,48786.5
2021-02-24 01:10:00,0.01,48788.501,48946.5,48720.0,48753.5,84.77,4136787.2567,48800.13,56.3,48797.0
