timestamp,Price [Md€],price_open,price_high,price_low,price_close,Amount [BTC],weighted_volume,okcn_vwap,sigma,okcn_vwmp (upper)
2021-02-24 00:00:00,0.0,48906.05,49078.28,48581.8,48637.63,2.94,143597.066313,48902.42,129.02,49078.28
2021-02-24 00:05:00,0.0,48632.03,48722.28,48554.89,48582.06,1.58,76915.30502,48612.88,46.76,48606.51
2021-02-24 00:10:00,0.01,48593.07,48632.03,48118.94,48166.24,7.6,367534.673257,48366.83,116.69,48413.47
2021-02-24 00:15:00,0.0,48111.0,48112.57,47600.0,47852.77,15.01,716439.900744,47744.52,155.59,47974.17
2021-02-24 00:20:00,0.0,47706.19,47748.9,47012.76,47091.91,4.7,222235.954081,47273.18,201.7,47589.69
2021-02-24 00:25:00,0.0,47142.17,47351.35,47142.17,47225.92,1.36,64330.388888999994,47246.17,50.8,47202.98
2021-02-24 00:30:00,0.0,47372.7,47693.72,47372.7,47632.98,0.71,33676.614682,47545.69,80.52,47472.11
2021-02-24 00:35:00,0.0,47638.91,47776.99,47596.8,47618.27,1.39,66178.930823,47686.22,55.99,47766.16
2021-02-24 00:40:00,0.0,47808.79,47865.09,47629.0,47720.39,2.2,105190.344357,47776.87,60.18,47649.76
2021-02-24 00:45:00,0.0,47771.93,47966.49,47771.93,47779.7,0.24,11578.947261,47926.11,48.62,47862.72
2021-02-24 00:50:00,0.0,47786.34,48240.76,47743.63,48199.35,12.1,581245.676879,48019.77,148.93,48221.63
2021-02-24 00:55:00,0.0,48213.76,48454.85,48161.56,48446.34,1.49,72223.43735400001,48384.43,75.37,48454.85
2021-02-24 01:00:00,0.0,48516.41,48684.15,48476.68,48544.58,1.08,52365.107463,48558.15,59.0,48542.57
2021-02-24 01:05:00,0.0,48868.9,48891.41,48691.43,48876.58,4.59,224004.031089,48826.02,74.26,48769.34
2021-02-24 01:10:00,0.0,48791.98,48968.03,48727.95,48761.27,4.47,218560.458819,48847.97,64.95,48865.32
2021-02-24 01:15:00,0.0,48821.26,49100.0,48821.26,49037.81,3.04,148767.56824999998,49012.48,86.4,49060.19
2021-02-24 01:20:00,0.0,49047.42,49225.07,48910.57,49215.19,0.6,29309.033735,49085.64,99.87,49172.62
2021-02-24 01:25:00,0.0,49225.82,49365.8,49161.11,49191.15,0.81,39661.172504,49262.42,52.6,49329.13
2021-02-24 01:30:00,0.0,49218.55,49218.55,48787.54,49032.73,1.54,75333.70226800001,49019.85,138.95,48930.9
2021-02-24 01:35:00,0.0,48979.08,49300.0,48934.89,49300.0,1.09,53578.575547,49208.83,106.32,49206.85
2021-02-24 01:40:00,0.0,49300.0,49894.4,49300.0,49742.59,1.28,63458.725776,49685.82,157.47,49713.05
2021-02-24 01:45:00,0.0,49686.25,49948.15,49668.82,49827.45,1.47,73046.716052,49851.03,75.76,49906.88
2021-02-24 01:50:00,0.0,49802.45,49821.48,49563.48,49780.4,4.93,245337.464707,49733.93,65.94,49780.4
2021-02-24 01:55:00,0.0,49749.53,50201.53,49669.59,50201.53,11.51,574866.149323,49959.25,116.24,49981.42
2021-02-24 02:00:00,0.0,50240.11,50557.93,49892.44,50557.93,2.06,103328.03870599999,50159.24,187.94,50240.11
2021-02-24 02:05:00,0.0,50543.23,50573.85,50236.71,50342.93,2.49,125543.348676,50425.09,88.55,50425.06
2021-02-24 02:10:00,0.0,50332.51,50335.61,49990.82,50263.5,5.09,255263.36818,50156.87,85.72,50263.5
2021-02-24 02:15:00,0.0,50363.27,50383.95,49915.85,50050.33,3.75,188171.528448,50117.6,112.49,50087.83
2021-02-24 02:20:00,0.0,50151.92,50151.92,49859.98,49877.46,2.55,127330.44076700001,49953.1,92.53,49935.86
2021-02-24 02:25:00,0.0,49857.12,50158.61,49853.89,50029.73,1.06,52921.892374,50039.61,85.34,49853.89
2021-02-24 02:30:00,0.0,50118.78,50321.79,50060.48,50223.94,2.37,118803.439632,50200.05,83.61,50315.2
2021-02-24 02:35:00,0.0,50251.36,50463.98,50251.36,50345.74,4.71,237053.243004,50358.64,59.64,50419.67
2021-02-24 02:40:00,0.0,50284.68,50333.95,50035.8,50087.22,4.12,206577.548953,50180.37,98.75,50108.48
2021-02-24 02:45:00,0.0,50094.12,50419.47,50083.96,50311.49,1.62,81459.002027,50314.39,80.86,50286.79
2021-02-24 02:50:00,0.0,50332.42,50385.25,50229.95,50316.83,3.13,157760.927271,50328.89,45.51,50316.83
2021-02-24 02:55:00,0.0,50347.8,50396.99,50183.97,50189.77,2.9,145794.262931,50292.96,55.0,50314.67
2021-02-24 03:00:00,0.0,50186.42,50478.88,50131.61,50478.88,1.24,62265.942189,50186.14,111.69,50350.87
2021-02-24 03:05:00,0.0,50418.18,50535.14,50283.35,50326.34,3.11,156714.247285,50455.33,71.43,50431.22
2021-02-24 03:10:00,0.0,50283.92,50478.25,50269.83,50434.08,3.39,170422.756301,50344.97,60.62,50434.08
2021-02-24 03:15:00,0.0,50397.52,50478.2,50231.49,50478.2,1.61,81196.214322,50376.11,46.4,50361.61
2021-02-24 03:20:00,0.0,50467.12,50467.12,50314.81,50315.84,0.81,40614.380325,50352.57,33.73,50374.24
2021-02-24 03:25:00,0.0,50316.38,50318.64,50232.23,50283.96,2.22,111639.236777,50272.09,21.74,50283.96
2021-02-24 03:30:00,0.0,50299.72,50345.67,50250.74,50345.67,0.39,19557.057408,50301.07,18.91,50296.05
2021-02-24 03:35:00,0.0,50412.27,50466.22,50330.56,50466.22,1.17,59228.420828,50432.92,29.95,50391.42
2021-02-24 03:40:00,0.0,50530.06,50558.57,50394.0,50470.25,0.33,16825.394863,50511.54,51.23,50530.06
2021-02-24 03:45:00,0.0,50424.03,50744.71,50326.32,50744.71,0.5,25179.723963,50490.72,145.62,50399.3
2021-02-24 03:50:00,0.0,50776.39,50875.96,50752.59,50835.85,2.06,104750.12917199999,50824.9,33.27,50830.72
2021-02-24 03:55:00,0.0,50852.89,50977.14,50844.01,50968.49,0.53,27031.196832,50954.19,40.9,50915.7
2021-02-24 04:00:00,0.0,50962.95,51124.44,50962.95,51037.94,3.19,162970.834421,51046.43,41.62,51064.7
2021-02-24 04:05:00,0.0,51102.53,51258.12,51087.25,51195.76,5.69,291252.316539,51230.82,49.46,51093.74
2021-02-24 04:10:00,0.0,51203.74,51289.37,51173.03,51272.29,2.28,116744.970286,51233.15,40.54,51288.12
2021-02-24 04:15:00,0.0,51383.99,51383.99,50984.24,51007.99,4.56,233713.671661,51196.86,93.36,51293.78
2021-02-24 04:20:00,0.0,50993.27,51047.27,50849.05,50991.68,0.1,5337.893599999999,50982.75,51.0,50963.96
2021-02-24 04:25:00,0.0,50993.83,51045.69,50676.36,50676.36,1.47,74744.053265,50787.56,127.15,50676.36
2021-02-24 04:30:00,0.0,50801.68,50910.01,50705.38,50806.89,0.27,13753.148805,50787.11,50.47,50861.96
2021-02-24 04:35:00,0.0,50788.74,50844.55,50636.77,50636.77,0.64,32662.791506,50750.14,67.89,50715.81
2021-02-24 04:40:00,0.0,50643.26,50643.26,50365.76,50365.76,1.85,93274.865698,50541.79,82.71,50616.84
2021-02-24 04:45:00,0.0,50443.75,50675.76,50443.75,50607.05,1.31,66241.98800499999,50554.83,66.65,50631.78
2021-02-24 04:50:00,0.0,50714.41,50958.05,50714.41,50898.43,1.47,74799.985434,50867.04,54.4,50958.05
2021-02-24 04:55:00,0.0,50900.97,50903.62,50666.0,50666.0,0.94,47549.549073,50806.23,62.43,50725.56
2021-02-24 05:00:00,0.0,50721.28,50918.46,50721.28,50918.46,0.52,26588.984419,50819.92,57.28,50878.27
2021-02-24 05:05:00,0.0,50935.35,51044.41,50901.26,50931.5,1.84,93600.538224,50955.71,37.99,50925.48
2021-02-24 05:10:00,0.0,50945.66,50945.66,50691.9,50691.9,0.16,7996.492217999999,50739.16,91.92,50904.54
2021-02-24 05:15:00,0.0,50640.52,50640.52,50257.74,50257.74,1.81,91495.833387,50550.18,117.22,50640.52
2021-02-24 05:20:00,0.0,50359.72,50359.72,50019.98,50128.57,2.57,128704.796564,50169.48,86.32,50209.38
2021-02-24 05:25:00,0.0,50184.53,50432.42,50085.36,50432.42,4.7,235971.36918,50210.95,76.89,50159.83
2021-02-24 05:30:00,0.0,50400.81,50400.81,50251.47,50319.74,1.83,91829.228928,50270.56,48.73,50254.51
2021-02-24 05:35:00,0.0,50373.25,50539.71,50368.21,50532.3,0.78,39397.895798000005,50445.45,60.77,50529.77
2021-02-24 05:40:00,0.0,50532.3,50532.3,50304.56,50421.0,0.57,28553.439631,50447.77,74.34,50452.21
2021-02-24 05:45:00,0.0,50465.0,50484.32,50322.53,50322.53,0.48,24285.040503,50425.75,40.99,50348.46
2021-02-24 05:50:00,0.0,50303.7,50505.34,50297.64,50382.75,5.21,262813.17142,50421.73,54.29,50505.34
2021-02-24 05:55:00,0.0,50370.9,50419.24,50226.92,50250.84,1.17,58817.798780000005,50357.7,57.53,50388.68
2021-02-24 06:00:00,0.0,50498.53,50605.98,50483.77,50576.92,0.64,32339.922277,50531.13,35.35,50520.56
2021-02-24 06:05:00,0.0,50585.11,50660.34,50487.17,50487.17,0.61,30870.406668,50598.93,65.35,50508.47
2021-02-24 06:10:00,0.0,50578.71,50583.69,49669.08,49818.13,5.32,266902.617149,50213.08,239.49,50299.87
2021-02-24 06:15:00,0.0,49711.14,49922.48,49496.23,49643.78,4.49,222986.188982,49666.17,104.71,49651.86
2021-02-24 06:20:00,0.01,49665.26,50180.1,49599.25,50105.51,7.32,365012.140116,49839.85,175.16,50045.51
2021-02-24 06:25:00,0.0,50068.34,50083.86,49671.0,49732.53,0.71,35194.731659,49900.37,140.51,49889.78
2021-02-24 06:30:00,0.0,49689.23,49946.42,49632.83,49798.32,5.55,276567.318577,49858.0,82.52,49632.83
2021-02-24 06:35:00,0.0,49812.67,49893.95,49608.92,49885.2,4.14,205862.621223,49767.34,89.9,49643.57
