timestamp,stmp_vwmp (upper),lmax_vwmp (upper),gmni_vwmp (upper),itbi_vwmp (upper),okcn_vwmp (upper),bfnx_vwmp (upper),btrx_vwmp (upper),bfly_vwmp (upper),bnus_vwmp (upper),cbse_vwmp (upper),krkn_vwmp (upper),all_vwmp (upper)
2021-02-24 00:00:00,48658.52,49029.5,48907.02,48602.0,49078.28,49086.0,48866.97,48929.54,48562.0,48828.35,48899.8,48828.35
2021-02-24 00:05:00,48566.76,48694.0,48550.0,48728.5,48606.51,48561.0,48570.97,48683.05,48678.43,48661.84,,48661.84
2021-02-24 00:10:00,48500.0,48531.5,48420.0,48277.0,48413.47,48401.0,48380.97,48574.05,48451.67,48427.83,48472.9,48472.9
2021-02-24 00:15:00,47994.68,47662.5,47998.96,48014.0,47974.17,48024.0,48019.06,47817.29,47613.26,47618.08,47734.6,47734.6
2021-02-24 00:20:00,47081.43,47021.0,47323.67,47093.5,47589.69,47303.0,47671.39,47153.51,47605.05,47365.74,47400.0,47365.74
2021-02-24 00:25:00,47160.76,47184.0,47222.74,47187.75,47202.98,47082.0,47142.62,47300.6,47171.54,47127.85,47129.3,47160.76
2021-02-24 00:30:00,47414.13,47658.0,47526.91,47511.0,47472.11,47406.78,47372.88,47399.97,47611.6,47426.26,47370.5,47426.26
2021-02-24 00:35:00,47709.87,47678.5,47637.52,47615.5,47766.16,47637.0,47732.58,47741.14,47782.52,47704.95,47653.1,47584.9
2021-02-24 00:40:00,47678.24,47742.0,47729.79,47727.25,47649.76,47709.19,47817.86,,47755.11,47716.5,47753.4,47716.5
2021-02-24 00:45:00,47853.34,47757.0,47836.0,47822.0,47862.72,47788.0,47874.67,,47841.85,47892.16,47870.8,47870.8
2021-02-24 00:50:00,47903.5,48193.0,48016.13,48213.5,48221.63,48161.0,47833.79,48191.14,48069.26,47797.07,47900.0,47900.0
2021-02-24 00:55:00,48436.55,48170.89,48332.09,48254.75,48454.85,48410.0,48380.97,,48210.43,48417.23,48472.1,48472.1
2021-02-24 01:00:00,48476.94,48615.5,48565.81,48576.0,48542.57,48684.0,48496.86,,48625.39,48670.86,48661.5,48661.5
2021-02-24 01:05:00,48725.53,48706.5,48753.92,48763.5,48769.34,48828.74,48690.5,,48675.47,48709.93,48629.0,48629.0
2021-02-24 01:10:00,48792.84,48801.25,48917.48,48743.5,48865.32,48771.0,48951.94,48798.7,48702.69,48705.59,48916.0,48899.0
2021-02-24 01:15:00,48853.67,48966.0,48849.35,48903.75,49060.19,48762.0,48983.04,,49020.96,48905.17,49103.8,49103.8
2021-02-24 01:20:00,48901.0,49097.0,49100.0,49050.75,49172.62,49152.0,49142.9,,49030.23,49163.17,48944.8,49152.0
2021-02-24 01:25:00,49215.58,49319.5,49333.0,49310.0,49329.13,49150.0,49228.91,,49280.0,49232.89,49300.0,49300.0
2021-02-24 01:30:00,48773.04,49101.0,48999.0,48927.75,48930.9,49081.61,48951.94,,48980.0,48845.25,48981.4,48981.4
2021-02-24 01:35:00,49302.33,48980.75,49196.49,49185.25,49206.85,49261.0,49132.35,49140.16,48956.99,49311.0,49285.3,49285.3
2021-02-24 01:40:00,49543.29,49690.0,49500.0,49666.75,49713.05,49891.0,49732.66,49818.51,49800.0,49566.37,49500.0,49750.0
2021-02-24 01:45:00,49777.62,49732.0,49752.81,49925.75,49906.88,49770.0,49904.84,,49917.47,49850.0,49837.6,49775.8
2021-02-24 01:50:00,49764.0,49621.5,49700.01,49594.5,49780.4,49754.89,49712.3,,49796.97,49605.0,49718.1,49713.0
2021-02-24 01:55:00,50043.91,49971.5,50150.05,49679.75,49981.42,49675.0,49981.32,50161.64,49899.55,49925.0,50000.0,50000.0
2021-02-24 02:00:00,50439.0,50181.0,50393.03,50327.75,50240.11,50233.86,50231.23,50200.0,50109.91,49976.18,50159.4,50159.4
2021-02-24 02:05:00,50459.15,50569.0,50460.0,50402.0,50425.06,50379.0,50460.17,,50400.0,50490.0,50394.0,50394.0
2021-02-24 02:10:00,50192.13,50034.0,50200.0,50138.75,50263.5,50350.0,50242.34,,50236.58,50110.0,50045.7,50045.7
2021-02-24 02:15:00,50060.33,50090.5,49957.78,49919.25,50087.83,50313.0,50077.39,50136.78,49912.91,50239.19,49955.0,49955.0
2021-02-24 02:20:00,50029.75,49955.5,49957.78,50019.75,49935.86,50084.0,49904.84,,50003.67,50014.58,49844.7,49844.7
2021-02-24 02:25:00,49927.58,49961.0,49990.15,49908.0,49853.89,49979.0,50073.06,,50006.06,50004.91,50039.5,50039.5
2021-02-24 02:30:00,50081.68,50120.0,50214.01,50307.75,50315.2,50107.0,50285.81,,50178.57,50248.6,50123.8,50123.8
2021-02-24 02:35:00,50308.41,50435.5,50393.03,50393.25,50419.67,50221.0,50339.87,,50422.19,50344.77,50310.1,50401.6
2021-02-24 02:40:00,50338.58,50262.5,50337.47,50167.5,50108.48,50334.0,50094.84,,50091.0,50110.97,50290.7,50290.7
2021-02-24 02:45:00,50296.77,50111.5,50350.0,50300.75,50286.79,50237.0,50423.73,,50386.4,50380.0,50165.3,50165.3
2021-02-24 02:50:00,50350.8,50377.5,50300.01,50311.0,50316.83,50306.68,50277.53,,50274.18,50350.71,50340.0,50274.18
2021-02-24 02:55:00,50220.56,50304.5,50372.52,50382.5,50314.67,50176.0,50331.08,,50250.35,50315.01,50371.8,50371.8
2021-02-24 03:00:00,50400.0,50352.0,50493.95,50332.25,50350.87,50226.93,50298.23,,50359.63,50470.0,50379.9,50379.9
2021-02-24 03:05:00,50317.81,50498.0,50481.46,50309.0,50431.22,50473.14,50475.81,,50500.0,50476.49,50500.0,50500.0
2021-02-24 03:10:00,50379.19,50396.0,50410.68,50476.0,50434.08,50290.0,50487.6,,50295.79,50475.25,50461.0,50379.19
2021-02-24 03:15:00,50376.9,50396.0,50339.8,50374.25,50361.61,50261.0,50412.41,,50393.59,50506.06,50243.9,50506.06
2021-02-24 03:20:00,50336.84,50490.0,50350.0,50326.75,50374.24,50214.0,50327.46,,50247.08,50365.71,50318.9,50350.0
2021-02-24 03:25:00,50243.78,50314.0,50307.92,50292.25,50283.96,50221.0,50317.91,,50303.96,50299.95,50268.1,50299.95
2021-02-24 03:30:00,50316.23,50273.5,50280.01,50276.5,50296.05,50219.0,50342.42,,50261.87,50270.01,50278.5,50278.5
2021-02-24 03:35:00,50512.62,50546.5,50387.09,50351.25,50391.42,50363.15,50394.75,,50377.48,50361.29,50450.0,50450.0
2021-02-24 03:40:00,50439.57,50472.0,50415.0,50395.5,50530.06,50496.0,50536.92,,50520.2,50540.0,50444.3,50444.3
2021-02-24 03:45:00,50374.65,50395.75,50700.0,50361.5,50399.3,50587.2,50611.89,,50668.02,50441.18,50500.0,50441.18
2021-02-24 03:50:00,50780.34,50818.5,50883.08,50780.0,50830.72,50807.0,50838.35,,50788.0,50894.39,50763.2,50894.39
2021-02-24 03:55:00,50863.85,50964.0,50900.0,50913.5,50915.7,50839.0,50988.47,50948.0,50972.8,50928.08,50941.6,50941.6
2021-02-24 04:00:00,51083.5,51044.5,51050.0,51024.5,51064.7,50974.0,51028.6,51025.46,51076.31,51035.5,51052.0,51052.0
2021-02-24 04:05:00,51187.89,51223.0,51240.71,51130.5,51093.74,51177.0,51250.0,,51203.83,51236.64,51244.0,51244.0
2021-02-24 04:10:00,51239.62,51264.0,51222.8,51297.75,51288.12,51217.0,51294.82,,51207.92,51238.42,51264.3,51230.0
2021-02-24 04:15:00,51355.18,50975.0,51100.03,51176.0,51293.78,50979.0,51379.0,,51267.09,51135.0,50993.6,51000.0
2021-02-24 04:20:00,51108.41,51040.0,51111.18,50987.0,50963.96,50921.0,50910.86,,51035.52,50892.01,50900.0,50900.0
2021-02-24 04:25:00,50727.02,50894.5,50790.0,50860.25,50676.36,50700.0,51066.93,50736.28,50779.56,50974.88,50764.0,50764.0
2021-02-24 04:30:00,50752.06,50819.0,50823.67,50832.75,50861.96,50790.0,50708.66,,50855.08,50662.6,50819.8,50819.8
2021-02-24 04:35:00,50689.1,50724.0,50740.99,50787.5,50715.81,50638.0,50666.77,,50621.01,50787.01,50736.8,50736.8
2021-02-24 04:40:00,50431.97,50427.5,50410.34,50522.25,50616.84,50436.0,50474.76,,50577.99,50589.48,50527.8,50527.8
2021-02-24 04:45:00,50642.95,50599.5,50622.0,50583.25,50631.78,50618.0,50678.82,,50478.51,50662.06,50499.9,50380.0
2021-02-24 04:50:00,50867.65,50922.0,50930.21,50718.25,50958.05,50803.0,50856.77,,50787.65,50863.91,50920.0,50920.0
2021-02-24 04:55:00,50824.48,50719.0,50832.89,50764.25,50725.56,50725.0,50853.21,,50829.24,50702.3,50811.0,50811.0
2021-02-24 05:00:00,50729.78,50759.0,50885.8,50770.75,50878.27,50611.0,50836.0,,50833.32,50913.16,50900.1,50900.1
2021-02-24 05:05:00,50917.52,50875.5,50894.92,51004.75,50925.48,50986.0,50930.0,,50930.45,50892.22,50905.0,50905.0
2021-02-24 05:10:00,50829.03,50698.0,50700.0,50832.0,50904.54,50849.0,50850.0,,50695.8,50890.29,50672.3,50860.9
2021-02-24 05:15:00,50448.42,50361.61,50550.0,50506.5,50640.52,50411.0,50500.01,,50544.79,50463.13,50384.7,50384.7
2021-02-24 05:20:00,50261.19,50222.5,50198.38,50132.25,50209.38,50057.0,50088.69,,50167.25,50090.24,50280.4,50261.19
2021-02-24 05:25:00,50166.04,50273.0,50126.83,50129.75,50159.83,50139.0,50149.41,,50352.71,50198.85,50133.5,50133.5
2021-02-24 05:30:00,50291.69,50282.0,50233.35,50317.25,50254.51,50185.33,50282.63,,50301.68,50305.09,50252.3,50252.3
2021-02-24 05:35:00,50280.47,50327.5,50507.4,50413.25,50529.77,50234.0,50475.81,,50485.77,50436.95,50499.9,50499.9
2021-02-24 05:40:00,50341.23,50408.5,50419.43,50354.25,50452.21,50329.0,50509.55,,50400.0,50323.77,50500.0,50500.0
2021-02-24 05:45:00,50305.03,50431.66,50500.0,50522.75,50348.46,50346.0,50428.03,,50406.48,50398.62,50310.7,50310.7
2021-02-24 05:50:00,50278.29,50313.5,50347.82,50360.0,50505.34,50274.68,50312.41,,50348.84,50428.14,50375.7,50375.7
2021-02-24 05:55:00,50378.28,50303.0,50350.0,50353.5,50388.68,50202.0,50300.0,,50360.3,50268.07,50397.3,50397.3
2021-02-24 06:00:00,50476.08,50485.0,50465.44,50497.5,50520.56,50439.0,50493.45,,50217.25,50256.71,50499.9,50499.9
2021-02-24 06:05:00,50626.33,50543.5,50429.85,50650.25,50508.47,50586.37,50666.77,,50470.93,50455.27,50650.1,50650.1
2021-02-24 06:10:00,49844.98,49920.0,50000.0,49771.0,50299.87,50418.0,49686.5,50050.8,49650.0,50015.01,50000.0,50000.0
2021-02-24 06:15:00,49588.76,49701.5,49464.49,49860.0,49651.86,49787.0,49900.65,,49400.0,49639.96,49661.4,49661.4
2021-02-24 06:20:00,50101.17,49869.0,49687.1,49917.0,50045.51,50007.0,50065.01,,49622.64,49886.1,49675.7,49675.7
2021-02-24 06:25:00,50000.0,49875.5,49843.28,49843.25,49889.78,49993.63,49713.87,,49643.74,49983.49,50000.0,50000.0
2021-02-24 06:30:00,49911.17,49626.5,49612.82,49821.75,49632.83,49789.0,49774.76,,49754.4,49656.24,49817.7,49806.4
2021-02-24 06:35:00,49712.86,49873.5,49612.61,49687.0,49643.57,49575.0,49794.81,,49706.64,49725.77,49700.0,49700.0
2021-02-24 06:40:00,49957.04,50069.0,49892.43,50021.5,49993.37,49755.0,49930.34,49923.2,49872.28,49929.0,49924.1,49924.1
2021-02-24 06:45:00,50251.7,50389.5,50393.03,50200.0,50173.89,50233.0,50285.81,50018.9,50141.0,50219.28,50086.3,50086.3
2021-02-24 06:50:00,50027.7,49980.5,49945.0,50014.0,50182.68,49893.0,49966.28,50018.9,50016.63,49981.79,50063.9,49893.0
2021-02-24 06:55:00,49994.92,50065.5,50012.32,49980.0,50002.92,50000.0,50079.31,,49968.43,50097.21,50061.1,50000.0
2021-02-24 07:00:00,50155.81,50142.5,50094.24,49960.0,50083.1,50000.0,50139.61,,49998.12,50114.66,49967.7,50139.61
2021-02-24 07:05:00,49821.92,50022.0,49732.44,50032.5,50115.49,49988.0,49904.84,,50000.0,49790.0,49895.7,49895.7
2021-02-24 07:10:00,49766.7,49589.5,49616.3,49720.0,49812.7,49587.0,49624.93,,49773.07,49715.12,49829.1,49829.1
2021-02-24 07:15:00,49754.41,49574.0,49613.21,49660.0,49773.03,49486.0,49718.1,49680.1,49519.99,49575.9,49600.0,49600.0
2021-02-24 07:20:00,49843.66,49752.0,49945.99,50000.0,49912.9,49726.0,49837.45,,49941.0,49764.56,50000.0,50000.0
2021-02-24 07:25:00,49759.4,49678.5,49887.07,49953.5,49669.57,49893.0,49851.28,,49843.64,49885.07,49743.9,49887.07
2021-02-24 07:30:00,50016.98,50000.0,49963.47,49932.0,49937.62,49861.0,49717.75,,49891.0,49988.31,49865.6,49865.6
2021-02-24 07:35:00,49949.4,49966.0,50131.65,50177.75,50238.97,50065.0,50152.25,,50140.69,50113.9,49960.0,49960.0
2021-02-24 07:40:00,50103.5,50054.0,50076.74,50161.75,50127.6,50072.0,50149.42,,50034.9,50045.56,50128.3,50128.3
2021-02-24 07:45:00,50100.13,50141.5,50066.06,50090.0,50170.54,49950.0,50146.08,,49991.0,50064.44,50092.6,50092.6
2021-02-24 07:50:00,50112.64,50255.0,50280.0,50299.75,50343.93,50107.0,50285.81,,50164.22,50265.07,50146.4,50265.07
2021-02-24 07:55:00,50100.34,50148.5,50097.88,50213.75,50182.87,50107.0,50098.38,,50161.0,50174.44,50196.1,50107.0
2021-02-24 08:00:00,50100.0,50026.0,49937.9,50106.25,50190.0,50157.0,50017.29,49890.34,49900.0,50211.8,49880.8,49880.8
2021-02-24 08:05:00,50290.34,50243.5,50214.01,50288.5,50480.92,50485.79,50253.23,,50342.0,50358.25,50450.0,50450.0
2021-02-24 08:10:00,50413.4,50482.0,50400.0,50430.5,50401.31,50418.0,50500.9,50410.65,50459.93,50440.5,50391.7,50391.7
2021-02-24 08:15:00,50832.06,50514.5,50564.56,50560.0,50848.65,50721.0,50778.49,,50816.65,50695.8,50778.5,50774.4
2021-02-24 08:20:00,50605.05,50670.5,50585.26,50677.75,50660.75,50694.24,50695.79,,50668.06,50684.15,50662.3,50662.3
